29,34,25,29,117,24,39,35,28,126,
22,30,19,38,109,25,34,32,32,123,
28,27,28,26,109,17,40,34,22,113,
36,24,27,27,114,25,27,25,30,107,
20,30,30,27,107,26,33,25,33,117,
32,26,40,32,130,14,36,28,30,108,
23,23,33,29,4,112,25,36,24,23,7,115,
28,31,37,20,116,33,26,27,22,108,
22,35,27,21,105,28,23,25,32,108,
22,30,35,21,108,35,30,22,28,115,
38,30,30,31,129,22,25,28,27,102,
30,23,27,22,102,37,38,19,29,123,
32,30,19,24,105,24,21,31,31,107,
32,19,33,31,115,23,32,29,24,108,
30,17,26,17,90,24,21,18,25,88,
35,21,29,18,103,23,33,21,20,97,
35,26,32,31,124,24,27,34,27,112,
36,34,32,35,137,26,29,30,49,134,
30,20,24,26,100,26,30,21,25,102,
27,27,27,17,98,19,31,30,28,108,
24,28,27,26,105,28,21,29,31,109,
30,29,30,22,111,22,29,26,27,104,
20,32,29,25,106,30,42,31,27,130,
26,36,33,34,129,32,38,30,22,122,
26,29,33,32,12,132,41,23,23,33,6,126,
40,30,28,30,128,34,18,36,35,123,
28,25,26,23,9,111,25,22,28,27,11,113,
19,35,31,29,114,25,26,26,28,105,
35,21,23,36,115,25,27,36,36,124,
36,32,31,27,126,33,35,26,26,120,
34,36,23,35,128,25,29,25,17,96,
33,17,33,26,109,38,33,21,20,112,
23,25,31,26,105,41,26,31,27,125,
17,19,35,25,96,39,25,35,38,137,
29,26,30,32,117,28,27,33,34,122,
29,23,34,25,111,26,29,25,29,109,
32,23,23,28,106,24,24,35,21,104,
22,37,45,22,126,30,25,29,25,109,
31,20,25,27,4,107,30,27,26,20,14,117,
26,37,30,17,12,122,24,29,31,26,11,121,
31,22,29,34,116,18,26,30,32,106,
36,35,23,31,125,39,50,24,17,130,
33,28,25,26,112,18,23,31,23,95,
23,23,30,30,106,33,31,26,30,120,
27,21,23,27,98,23,20,33,14,90,
28,31,23,20,102,34,31,31,19,115,
39,15,25,23,102,30,35,35,20,120,
18,27,28,35,108,21,30,26,37,114,
34,35,28,27,124,39,25,45,25,134,
39,28,36,12,115,28,29,14,35,106,
31,30,25,24,110,23,32,44,36,135,
25,24,26,24,99,28,28,29,35,120,
31,33,25,22,111,40,26,21,26,113,
18,25,25,26,94,23,26,35,24,108,
29,37,20,19,105,37,35,33,29,134,
24,26,19,23,92,30,24,19,30,103,
36,26,27,29,118,32,29,28,24,113,
20,35,21,23,99,25,18,35,32,110,
30,32,28,32,9,131,32,37,29,24,12,134,
27,26,26,30,109,35,28,26,30,119,
27,30,36,16,109,38,38,27,21,124,
28,25,41,28,122,39,29,34,32,134,
21,28,26,26,101,22,39,28,20,109,
22,32,17,28,99,26,28,32,24,110,
28,33,33,25,119,31,25,25,17,98,
30,31,29,22,17,129,23,36,25,28,13,125,
24,36,27,23,110,34,19,36,29,118,
30,29,28,23,110,31,32,29,31,123,
32,31,31,31,125,28,28,27,27,110,
35,34,37,30,136,29,38,27,18,112,
19,11,23,40,93,22,29,31,31,113,
33,29,33,19,18,132,34,41,24,15,9,123,
28,37,16,31,112,26,22,22,20,90,
36,39,26,26,127,28,32,30,27,117,
24,29,32,23,108,26,33,37,23,119,
25,27,23,27,102,28,24,26,33,111,
29,31,34,30,124,36,26,32,35,129,
25,25,28,23,101,35,28,26,28,117,
27,25,31,28,111,21,36,36,31,124,
23,35,24,29,111,32,37,27,29,125,
23,26,33,31,113,32,39,19,29,119,
23,27,33,24,6,113,34,28,18,27,13,120,
26,37,29,33,125,26,36,28,26,116,
37,27,26,24,114,22,34,31,22,109,
30,21,33,31,115,32,27,32,32,123,
27,19,26,27,18,117,25,26,20,28,12,111,
30,24,37,32,123,24,38,33,29,124,
18,34,26,34,112,25,27,15,24,91,
15,32,21,26,94,34,24,29,25,112,
30,29,34,15,108,35,27,22,37,121,
37,18,36,23,114,29,34,37,28,128,
23,24,23,28,98,26,31,28,22,107,
34,26,23,22,105,29,31,28,26,114,
24,32,30,23,109,29,36,25,34,124,
31,20,34,25,110,26,29,38,28,121,
24,28,37,26,115,34,33,18,23,108,
30,22,34,32,118,28,24,21,38,111,
18,36,31,24,109,33,28,31,24,116,
28,25,27,29,109,34,30,31,44,139,
23,29,25,31,108,34,26,28,22,110,
26,18,30,31,105,23,38,36,24,121,
23,29,24,17,93,30,21,22,22,95,
25,27,25,31,108,27,31,22,19,99,
24,32,38,15,109,33,25,28,30,116,
32,34,22,20,108,33,30,22,31,116,
20,27,26,34,107,24,30,30,32,116,
31,26,34,30,121,25,26,39,21,111,
